,AI,IT,HC,DS,LG,SY,SI,LO,DB,DM,NA,GT,NI,SE,CV,NE,IR,CG,SC,DC,AR,PL,GR,CC,FL,CR,PF,ET,CE,CY,OH,SD,DL,MM,MS,CL,MA,RO,OS,cmp-lg,GL
0,"('artificial_intelligence', 14)","('compressed_sensing', 114)","('user_study', 3)","('approximation_algorithms', 41)","('online_learning', 30)","('system_identification', 8)","('social_networks', 42)","('computability_logic', 18)","('data_mining', 9)","('independent_set', 12)","('isogeometric_analysis', 6)","('game_theory', 49)","('cognitive_radio', 24)","('software_engineering', 8)","('computer_vision', 23)","('neural_network', 14)","('collaborative_filtering', 13)","('computational_geometry', 28)","('computer_algebra', 7)","('fault_tolerance', 20)","('energy_efficiency', 3)","('logic_programming', 9)","('information_visualization', 3)","('computational_complexity', 50)","('cellular_automata', 10)","('image_encryption', 9)","('performance_evaluation', 3)","('slime_mould', 7)","('numerical_simulation', 3)","('cloud_computing', 2)","('pairwise_comparisons', 4)","('signal_processing', 2)","('h_index', 3)","('image_compression', 5)","('operator_overloading', 3)","('information_extraction', 4)","('distributed_optimization', 4)","('parallel_manipulator', 3)","('periodic_tasks', 1)","('computational_linguistics', 1)","('asynchronous_system', 2)"
1,"('reinforcement_learning', 12)","('cognitive_radio', 80)","('information_theory', 2)","('approximation_algorithm', 27)","('machine_learning', 25)","('distributed_estimation', 6)","('complex_networks', 27)","('game_semantics', 16)","('big_data', 4)","('fixed_point', 9)","('global_optimization', 4)","('nash_equilibrium', 19)","('energy_efficiency', 21)","('model_checking', 6)","('deep_learning', 21)","('genetic_algorithm', 12)","('recommender_systems', 12)","('approximation_algorithm', 11)","('symbolic_computation', 7)","('cloud_computing', 20)","('embedded_systems', 2)","('program_algebra', 7)","('computer_graphic', 2)","('kolmogorov_complexity', 10)","('regular_language', 9)","('smart_card', 9)","('cognitive_radio', 2)","('unconventional_computing', 5)","('uncertainty_quantification', 3)","('social_networks', 2)","('asynchronous_system', 4)","('machine_listening', 1)","('research_evaluation', 3)","('data_compression', 3)","('automatic_differentiation', 3)","('machine_learning', 4)","('mobile_agents', 3)","('motion_planning', 3)","('operating_system', 1)","('feature_structures', 1)","('serial_connection', 1)"
2,"('machine_learning', 10)","('network_coding', 79)","('user_interface', 2)","('combinatorial_optimization', 17)","('feature_selection', 18)","('sensor_networks', 6)","('community_detection', 23)","('modal_logic', 16)","('integrity_constraints', 3)","('graph_coloring', 9)","('uncertainty_quantification', 4)","('mechanism_design', 19)","('wireless_networks', 15)","('event_b', 6)","('face_recognition', 19)","('evolutionary_algorithms', 9)","('data_mining', 7)","('voronoi_diagram', 8)","('triangular_decomposition', 5)","('distributed_algorithms', 17)","('write_endurance', 2)","('thread_algebra', 6)","('gradient_domain', 2)","('np_hardness', 7)","('state_complexity', 7)","('information_hiding', 8)","('spectrum_handover', 2)","('molecular_communication', 4)","('molecular_dynamics', 3)","('social_system', 2)","('inconsistency_analysis', 2)","('soundscape_cognition', 1)","('web_archiving', 2)","('robust_watermarking', 2)","('code_generation', 3)","('sentiment_analysis', 3)","('target_localization', 2)","('evolutionary_robotics', 2)","('privilege_separation', 1)","('constraint_satisfaction', 1)",
3,"('rough_set', 10)","('interference_channel', 69)","('visual_analytics', 2)","('graph_algorithms', 17)","('reinforcement_learning', 18)","('markov_chain', 6)","('complex_network', 11)","('interactive_computation', 14)","('data_integration', 3)","('random_graphs', 9)","('matrix_decomposition', 3)","('computational_complexity', 12)","('network_coding', 15)","('formal_verification', 6)","('object_detection', 18)","('genetic_algorithms', 9)","('information_retrieval', 6)","('graph_drawing', 7)","('root_finding', 3)","('self_stabilization', 15)","('reconfigurable_computing', 2)","('instruction_sequence', 5)","('visualization_model', 2)","('communication_complexity', 7)","('finite_automata', 6)","('boolean_functions', 7)","('markov_process', 2)","('reservoir_computing', 3)","('semidefinite_programming', 3)","('social_media', 2)","('cic_filters', 2)","('noise_suppression', 1)","('document_use', 2)","('motion_capture', 2)","('finite_elements', 3)","('speech_recognition', 3)","('social_networks', 2)","('mobile_robotics', 2)","('multi_threading', 1)","('computational_semantics', 1)",
4,"('quantum_cognition', 9)","('convex_optimization', 60)","('human_factors', 2)","('data_structure', 16)","('unsupervised_learning', 14)","('hybrid_systems', 6)","('social_media', 11)","('linear_logic', 13)","('linked_data', 3)","('cubic_graph', 8)","('wave_equation', 3)","('social_networks', 7)","('sensor_networks', 12)","('temporal_logic', 5)","('sparse_representation', 17)","('genetic_programming', 8)","('text_mining', 5)","('convex_hull', 6)","('root_isolation', 3)","('distributed_computing', 14)","('fault_tolerance', 2)","('program_transformation', 4)","('steiner_surfaces', 2)","('np_completeness', 6)","('synchronizing_automaton', 6)","('secret_sharing', 7)","('spatial_pointprocess', 1)","('quantum_computing', 2)","('parallel_computing', 3)","('computer_programming', 2)","('ω−limit_set', 2)","('user_interface', 1)","('citation_analysis', 2)","('transform_coding', 2)","('sparse_matrices', 3)","('text_mining', 3)","('stochastic_approximation', 2)","('bond_theory', 2)","('software_reliability', 1)","('logic_grammars', 1)",
5,"('information_compression', 9)","('energy_harvesting', 59)","('human_computation', 2)","('parameterized_complexity', 15)","('dictionary_learning', 14)","('convex_optimization', 6)","('social_network', 11)","('model_checking', 11)","('relational_database', 3)","('planar_graphs', 8)","('linear_programming', 2)","('potential_games', 5)","('resource_allocation', 10)","('formal_methods', 4)","('image_segmentation', 17)","('swarm_intelligence', 6)","('association_rule', 5)","('discrete_geometry', 5)","('polynomial_systems', 3)","('distributed_algorithm', 11)","('power_management', 2)","('programming_language', 4)","('interactive_visualization', 2)","('lower_bound', 6)","('synchronizing_word', 5)","('network_security', 6)","('internet_access', 1)","('dna_computing', 2)","('option_pricing', 3)","('blended_learning', 2)","('compressed_sensing', 2)","('signal_clipping', 1)","('semantic_web', 2)","('video_compression', 2)","('parallel_computing', 3)","('malagasy_dialects', 2)","('game_theory', 2)","('self_motion', 2)","('machine_simulation', 1)","('machine_translation', 1)",
6,"('knowledge_representation', 8)","('interference_alignment', 58)","('eye_tracking', 2)","('computational_complexity', 15)","('neural_network', 11)","('distributed_optimization', 5)","('information_diffusion', 7)","('logic_programming', 10)","('association_rules', 3)","('cayley_graphs', 8)","('numerical_methods', 2)","('potential_game', 5)","('spectrum_sensing', 9)","('process_mining', 3)","('image_classification', 17)","('evolutionary_computation', 5)","('singleton_space', 3)","('minkowski_sum', 5)","('root_refinement', 2)","('parallel_computing', 9)","('hardware_architecture', 2)","('memory_management', 3)","('isogeometric_analysis', 2)","('post’s_lattice', 4)","('finite_automaton', 5)","('multiparty_computation', 6)","('handover_(handoff)', 1)","('energy_harvesting', 2)","('lagrange_multipliers', 2)","('market_mechanism', 2)","('docking_simulator', 2)","('sparse_recovery', 1)","('linked_data', 2)","('resource_allocation', 2)","('generic_programming', 2)","('word_order', 2)","('fictitious_play', 2)","('swarm_robotics', 2)","('type_systems', 1)","('levenshtein_distance', 1)",
7,"('constraint_satisfaction', 8)","('compressive_sensing', 57)","('semantic_web', 2)","('dynamic_programming', 14)","('deep_learning', 10)","('kalman_filtering', 5)","('network_science', 7)","('lambda_calculus', 9)","('time_series', 3)","('maximum_matching', 7)","('randomized_algorithms', 2)","('nash_equilibria', 4)","('game_theory', 9)","('semantic_web', 3)","('image_denoising', 16)","('deep_learning', 5)","('search_term', 3)","('approximation_algorithms', 5)","('complexity_analysis', 2)","('sensor_networks', 8)","('computer_society', 1)","('type_systems', 3)","('bézier_curve', 1)","('quantum_computing', 4)","('fuzzy_automata', 4)","('security_protocols', 5)","('load_testing', 1)","('fractal_architecture', 1)","('sparse_complexes', 2)","('open_source', 1)","('quaternary_algebra', 1)","('inverse_problems', 1)","('readership_statistics', 2)","('augmented_reality', 2)","('uncertainty_quantification', 2)","('head_placement', 2)","('autonomous_agents', 2)","('numerical_model', 2)","('real_time', 1)","('stochastic_transduction', 1)",
8,"('logic_programming', 8)","('outage_probability', 53)","('semantic_wiki', 2)","('online_algorithms', 13)","('convex_optimization', 10)","('switched_systems', 5)","('network_analysis', 7)","('computational_complexity', 9)","('differential_privacy', 2)","('computational_complexity', 7)","('hierarchical_matrices', 2)","('repeated_games', 4)","('cellular_networks', 8)","('software_development', 3)","('dictionary_learning', 15)","('evolutionary_robotics', 3)","('pattern_recognition', 3)","('lower_bound', 4)","('secondary_polytope', 2)","('random_walk', 8)","('single_core', 1)","('program_analysis', 3)","('multiple_segments', 1)","('approximation_algorithms', 4)","('ideal_language', 4)","('stream_cipher', 5)","('performance_testing', 1)","('menger_sponge', 1)","('feature_selection', 2)","('web_communities', 1)","('quaternary_adder', 1)","('greedy_methods', 1)","('web_archive', 1)","('multimedia_communication', 2)","('linear_algebra', 2)","('language_dynamics', 2)","('cellular_automata', 2)","('fatigue_resistance', 2)","('machine_consciousness', 1)","('prototype_dictionary', 1)",
9,"('computational_complexity', 8)","('massive_mimo', 51)","('author_', 2)","('lower_bound', 10)","('supervised_learning', 9)","('parameter_estimation', 5)","('sentiment_analysis', 6)","('program_verification', 8)","('data_quality', 2)","('perfect_matching', 6)","('fast_algorithms', 2)","('simple_games', 4)","('slotted_aloha', 8)","('algorithmic_debugging', 3)","('total_variation', 14)","('memetic_algorithm', 3)","('matrix_factorization', 3)","('computational_topology', 4)","('gaussian_elimination', 2)","('parallel_algorithms', 8)","('dual_core', 1)","('projection_semantics', 3)","('parametric_continuity', 1)","('algorithmic_complexity', 4)","('sturmian_words', 4)","('cloud_computing', 5)","('performance_models', 1)","('computer_science', 1)","('laminated_glass', 2)","('design_methodology', 1)","('pairwise_comparison', 1)","('sparse_approximations', 1)","('query_routing', 1)","('approximate_dct', 1)","('algorithmic_differentiation', 2)","('lambek_calculus', 2)","('diffusion_strategy', 2)","('parametric_analysis', 2)","('idle_process', 1)","('spelling_correction', 1)",
